卡牌ID,同卡牌ID,普通技能ID,觉醒技能ID,卡牌称号,卡牌名称,稀有度,职业,属性,COST,HP,物攻,魔攻,恢复量,卡牌类别,主效果,详细效果(普通）,详细效果(觉醒）,台词（攻击）,台词（支援）,头像ID
10114004,10114003,12500441,12500442,骑士王,异界型Saber,MR,富豪,光,4,4188,0,0,0,防御,抗封印/抽卡/魔防↑,自身/1回合/提升2189点魔法防御,己方全体/2回合/提升2878点魔法防御，己方全体/抽卡+1，【3Chain以上】1回合/80%封印抗性,誓约…胜利之剑！！,危险！Master！,10114002
10114006,10114005,13200951,13200952,骑士王,异界型Saber,MR,盗贼,光,4,4188,0,0,0,魔法,攻击/物防↓/魔防↓,敌单体/魔法/5913点+魔法攻击力150%的光属性伤害，暴击率150%,敌单体/魔法/21494点+魔法攻击力150%的光属性伤害，暴击率150%，2回合/降低6118点物理防御，2回合/降低6118点魔法防御,誓约…胜利之剑！！,危险！Master！,10114002
10114008,10114007,14300801,14300802,骑士王,异界型Saber,MR,歌姬,光,4,4188,0,0,0,治疗,解异常/治疗,自身/恢复4880+治疗量的150%点HP,己方全体/恢复9668+治疗量的150%点HP，解除封印状态,誓约…胜利之剑！！,危险！Master！,10114002
10114010,10114009,14400321,14400322,赝作者,异界型Archer,MR,歌姬,火,4,3351,0,0,140,支援,物攻↑,自身/3回合/提升物理攻击4817,己方全体/3回合/提升物理攻击9573,这七天，你能突破得了吗？,unlimited blade works！,10114010
10114012,10114011,11101341,11101342,黑蛇,异界型Rider,MR,佣兵,暗,4,2094,0,349,0,魔法,魔攻↓/攻击,敌单体/魔法/10792点+魔法攻击力150%的暗属性伤害，暴击率150%,敌单体/魔法/21494点+魔法攻击力150%的暗属性伤害，暴击率150%，【3Chain以上】2回合/降低4187点魔法攻击,我会温柔地杀死你的,你真勇敢啊,10114012
10114014,10114013,11400131,11400132,魔力解放,异界型 远坂凛 -魔力解放-,MR,佣兵,暗,3,2513,140,140,0,支援,物攻↑/魔攻↑,自身/1回合/提升魔法攻击4420,自身/2回合/提升魔法攻击15914，【3回合前】2回合/提升物理攻击15914，2回合/提升魔法攻击15914,别躲开啊，可贵了！,喂，别勉强自己乱来啊！,10114014
10114016,10114015,12500461,12500462,魔力解放,异界型 远坂凛 -魔力解放-,MR,富豪,暗,3,2513,279,0,0,防御,抽卡/物防↑,自身/2回合/提升1439点物理防御，抽卡+1,己方全体/2回合/提升2878点物理防御，抽卡+1，【3回合前】3回合/提升2878点物理防御,别躲开啊，可贵了！,喂，别勉强自己乱来啊！,10114014
10114018,10114017,13201011,13201012,魔力解放,异界型 远坂凛 -魔力解放-,MR,盗贼,暗,2,2513,0,279,0,魔法,魔攻↑/攻击,敌单体/魔法/3628点暗属性伤害，暴击率150%,敌单体/魔法/7195点暗属性伤害，暴击率150%，自身/1回合/提升魔法攻击7257，【3回合前】自身/2回合/提升魔法攻击7257,别躲开啊，可贵了！,喂，别勉强自己乱来啊！,10114014
10114020,10114019,14300861,14300862,魔力解放,异界型 远坂凛 -魔力解放-,MR,歌姬,暗,3,2513,0,0,279,治疗,物攻↑/治疗,自身/恢复3192+治疗量的130%点HP,己方全体/恢复6304+治疗量的130%点HP，【3回合前】2回合/提升物理攻击7857,别躲开啊，可贵了！,喂，别勉强自己乱来啊！,10114014
10114022,10114021,13200971,13200972,幼小的魔术师,异界型依莉雅斯菲尔,MR,盗贼,冰,4,2094,0,349,0,魔法,物攻↓/魔攻↓/攻击,敌单体/魔法/10792点+魔法攻击力150%的冰属性伤害，暴击率150%,敌单体/魔法/21494点+魔法攻击力150%的冰属性伤害，暴击率150%，1回合/降低3269点物理攻击，1回合/降低3269点魔法攻击,干掉他！！,真是拿你没办法啊！,10114022
10114024,10114023,11101361,11101362,厨房的女神,异界型 间桐 樱,MR,佣兵,暗,2,2094,349,0,0,物理,吸血/攻击,敌单体/物理/4317点暗属性伤害，暴击率150%,敌单体/物理/8574点暗属性伤害，暴击率150%，HP恢复伤害量的0%，【自身HP75%以下】HP恢复伤害量的50%,正是展示弓道部技术的时候！,请努力！我会替你加油的！,10114024
10114026,10114025,12100871,12100872,见习魔术师,异界型 卫宫 士郎,MR,富豪,风,2,2094,349,0,0,物理,物攻↑/攻击/抽卡,敌单体/物理/3628点风属性伤害，暴击率150%,敌单体/物理/7195点风属性伤害，暴击率150%，自身/2回合/提升物理攻击7257，己方全体/抽卡+1,接招吧，武器的储备还足够吗？,危险！小心点啊！,10114026
10114028,10114027,12100891,12100892,最古之英雄王,异界型吉尔伽美什,MR,富豪,光,4,2285,254,0,0,物理,攻击/抽卡,敌单体/物理/7226点+物理攻击力150%的光属性伤害，暴击率150%,敌单体/物理/11980点+物理攻击力150%的光属性伤害，暴击率150%，己方全体/抽卡+1，【4回合后】物理/42896点+物理攻击力150%的光属性伤害，暴击率150%,别太嚣张了，杂种,起来，我不允许后退,10114028
10114030,10114029,14300821,14300822,怒涛之破坏者,异界型Berserker,MR,歌姬,火,1,2665,0,0,190,支援,治疗↑/延迟奶,自身/恢复1814点HP,自身/3回合/提升治疗量1250，己方全体/3回合/每回合恢复HP293,■■■■■■■■■■■■■！,■■■■■■■■■■~！,10114030
10114032,10114031,12100911,12100912,无名的侍士,异界型Assassin,UR,富豪,风,2,1385,154,0,0,物理,破防/攻击/抽卡,敌单体/物理/2181点风属性伤害，暴击率150%,敌单体/物理/3617点风属性伤害，暴击率150%，无视0%的防御，己方全体/抽卡+1，【自身/额外2枚以上】物理/5797点风属性伤害，暴击率150%，无视90%的防御,秘剑，燕归来！,并不是这样就结束了,10114032
10114034,10114033,13500021,13500022,神代之魔术师,异界型Caster,UR,盗贼,暗,3,1154,0,192,0,支援,魔攻↑/抗封印,自身/1回合/提升魔法攻击5451，1回合/30%封印抗性,自身/1回合/提升魔法攻击9017，1回合/80%封印抗性,连灰都剩不下…！,哎呀哎呀，真顽强呢,10114034
10114036,10114035,11101381,11101382,苍蓝枪兵,异界型Lancer,UR,佣兵,冰,4,1615,115,0,0,物理,攻击,敌单体/物理/6542点+物理攻击力150%的冰属性伤害，暴击率150%,敌单体/物理/10851点+物理攻击力150%的冰属性伤害，暴击率150%，【自身HP100%】物理/10851点+物理攻击力150%的冰属性伤害，暴击率1000%,你的心脏，我收下了！,不只是这样而已对吧？,10114036
10114038,10114037,11400111,11400112,魔术名门,异界型 远坂凛,MR,佣兵,火,2,2285,254,0,0,支援,物攻↑,自身/1回合/提升物理攻击6006,自身/1回合/提升物理攻击9969，【自身/额外1枚以上】2回合/提升物理攻击9969,华丽点收场吧！,乘现在准备好，准备好,10114038
10114040,10114039,12500421,12500422,魔术名门,异界型 远坂凛,MR,富豪,火,2,2285,254,0,0,防御,抽卡/物防↑,自身/2回合/提升750点物理防御,己方全体/2回合/提升1250点物理防御，【3Chain以上】抽卡+2,华丽点收场吧！,乘现在准备好，准备好,10114038
10114042,10114041,13201051,13201052,魔术名门,异界型 远坂凛,MR,盗贼,火,3,2285,0,254,0,魔法,攻击,敌单体/魔法/6995点+魔法攻击力130%的火属性伤害，暴击率150%,敌单体/魔法/11632点+魔法攻击力130%的火属性伤害，暴击率150%，【3Chain以上】魔法/20908点+魔法攻击力130%的火属性伤害，暴击率150%,华丽点收场吧！,乘现在准备好，准备好,10114038
10114044,10114043,14300841,14300842,魔术名门,异界型 远坂凛,MR,歌姬,火,2,2285,0,0,254,治疗,治疗↑/解异常/治疗,自身/恢复1125点HP,己方1人/恢复4024点HP，解除封印状态，自身/2回合/提升治疗量1392,华丽点收场吧！,乘现在准备好，准备好,10114038
10114046,10114045,10300021,,骑士王的休日,异界型Saber -日常-,MR,通用,光,3,3808,0,0,0,支援,物攻↑/魔攻↑/治疗↑,自身/2回合/提升物理攻击6006，2回合/提升魔法攻击6006，2回合/提升治疗量1680,,你能受得了我的一击吗！,Master，你退后！,10114046
10114048,10114047,13200991,13200992,脚技之魔女,蹴球型格妮妲,MR,盗贼,风,2,2285,0,254,0,魔法,攻击,敌单体/魔法/3628点风属性伤害，暴击率150%,敌单体/魔法/6006点风属性伤害，暴击率150%，【自身/弱化/额外1枚以上】魔法/10762点风属性伤害，暴击率150%,大概会很痛的哦？,即便如此也想帮助别人…。,10114048
10115002,10115001,12100931,12100932,王之参谋,王位型君士坦丁,MR,富豪,火,4,2932,209,0,0,物理,攻击/抗封印/抽卡,敌单体/物理/10792点+物理攻击力150%的火属性伤害，暴击率150%,敌单体/物理/21494点+物理攻击力150%的火属性伤害，暴击率150%，己方全体/2回合/40%封印抗性，己方全体/抽卡+1，【4Chain以上】己方全体/2回合/80%封印抗性,无论是谁也不能阻挡他的王道！,别半途而废啊！,10115002
10115003,10115003,13201071,13201072,王位继承者,王位型君士坦丁,MR,盗贼,冰,3,2932,0,209,0,魔法,魔攻↓/魔攻↑/攻击,敌单体/魔法/4716点+魔法攻击力130%的冰属性伤害，暴击率150%,敌单体/魔法/9354点+魔法攻击力130%的冰属性伤害，暴击率150%，2回合/降低2010点魔法攻击，【4回合后】己方全体/2回合/提升魔法攻击5908,没规矩的人，把路让出来！,大家，拿出力量来！,10115003
10115005,10115004,14300881,14300882,失控的魔剑士,第二型贝琳,MR,歌姬,火,3,2094,0,0,349,治疗,解异常/治疗,自身/恢复3192+治疗量的130%点HP,己方全体/恢复6304+治疗量的130%点HP，【2Chain以上】解除封印状态,把这剑……，控制好给你看！,在这剑还没失控的时候…！,10115005
10115006,10115006,11101401,11101402,冰裂魔刃,第二型贝琳,MR,佣兵,冰,4,2094,0,349,0,魔法,攻击,敌单体/魔法/5913点+魔法攻击力150%的冰属性伤害，暴击率150%,敌全体/魔法/11826点+魔法攻击力150%的冰属性伤害，暴击率500%,把这剑……，控制好给你看！,在这剑还没失控的时候…！,10115006
10115008,10115007,12100951,12100952,悲恋之骑士,第二型佩里亚丝,MR,富豪,冰,2,2094,349,0,0,物理,攻击/抽卡/物防↑,敌单体/物理/3628点冰属性伤害，暴击率150%,敌单体/物理/7195点冰属性伤害，暴击率150%，己方全体/抽卡+1，【自身/支援/额外1枚以上】己方全体/2回合/提升1608点物理防御,这情况下只要是女孩子谁都可以！,可恨…现充好可恨…！,10115008
10115010,10115009,11101421,11101422,魔剑的调音师,特异型赫尔薇儿,MR,佣兵,火,2,2932,0,209,0,魔法,魔攻↑/攻击,敌单体/魔法/3628点火属性伤害，暴击率150%,敌单体/魔法/7195点火属性伤害，暴击率150%，【自身/火/额外2枚以上】自身/1回合/提升魔法攻击11966,即便被怨恨也没有关系。,不能输啊。,10115010
10115012,10115011,14300901,14300902,时空间的淑女,特异型圣日耳曼,UR,歌姬,暗,2,1523,0,0,169,治疗,解异常/治疗,自身/恢复982点HP,己方1人/恢复4361点HP，解除封印状态,让我抹掉你胜利的可能。,我们是注定会胜利的。,10115012
10115014,10115013,13201091,13201092,消极工作,学徒型柯尔格利万斯,UR,盗贼,火,2,1615,0,115,0,魔法,攻击,敌单体/魔法/2181点火属性伤害，暴击率150%,敌单体/魔法/3617点火属性伤害，暴击率150%，【自身HP100%】魔法/5797点火属性伤害，暴击率150%,我很擅长拖延时间。,拜托拖个长期战。,10115014
10115016,10115015,11101441,11101442,最快的饲养员,学徒型佩里诺亚,UR,佣兵,冰,3,1615,0,115,0,魔法,反伤/攻击,敌单体/魔法/3402点+魔法攻击力130%的冰属性伤害，暴击率150%,敌单体/魔法/5669点+魔法攻击力130%的冰属性伤害，暴击率150%，提升累计损血40%的威力,迟到迟到了！,大家也赶快点！,10115016
10115018,10115017,14300921,14300922,天翔之努力家,学徒型艾菲,MR,歌姬,风,2,1523,0,0,381,治疗,物攻↑/治疗,自身/恢复3628点HP,己方1人/恢复6006点HP，己方全体/2回合/提升物理攻击2220,如果能按我想的去动…！,朋友…，真是动听啊。,10115018
10115020,10115019,12100971,12100972,诚之风纪委员,学徒型加雷斯,UR,富豪,光,2,1385,154,0,0,物理,破防/攻击/抽卡,敌单体/物理/2181点光属性伤害，暴击率150%,敌单体/物理/3617点光属性伤害，暴击率150%，无视0%的防御，己方全体/抽卡+1，【2Chain以上】无视70%的防御,不准扰乱风纪。,大家，一起努力吧！,10115020
10115022,10115021,13201111,13201112,学园大众传媒,学徒型索尔,MR,盗贼,暗,3,1904,0,317,0,魔法,吸血/攻击,敌单体/魔法/6508点+魔法攻击力130%的暗属性伤害，暴击率150%,敌单体/魔法/10899点+魔法攻击力130%的暗属性伤害，暴击率500%，HP恢复伤害量的0%，【2Chain以上】HP恢复伤害量的50%,那就不客气了！,干掉他～！,10115022
10115024,10115023,13201131,13201132,学舍的大轮华,学徒型罗艾娜,MR,盗贼,火,4,2285,0,254,0,魔法,物攻↓/攻击,敌单体/魔法/10792点+魔法攻击力150%的火属性伤害，暴击率150%,敌单体/魔法/17926点+魔法攻击力150%的火属性伤害，暴击率150%，3回合/降低2549点物理攻击,对不起，请原谅我！,稍微有些嫉妒呢…。,10115024
10115025,10115025,12500481,12500482,学园偶像,学徒型罗艾娜,MR,富豪,风,3,2285,254,0,0,防御,抽卡/魔防↑/魔防↓,自身/1回合/提升1125点魔法防御,己方全体/3回合/提升1173点魔法防御，抽卡+1，【3Chain以上】己方全体/抽卡+1，敌全体/3回合/降低6544点魔法防御,对不起，请原谅我！,稍微有些嫉妒呢…。,10115025
10115027,10115026,11101461,11101462,超！学生会长,学徒型橄榄石,MR,佣兵,暗,2,2285,0,254,0,魔法,破防/攻击,敌单体/魔法/1971点暗属性伤害，暴击率150%,敌全体/魔法/3285点暗属性伤害，暴击率150%，无视65%的防御,乃们根本不是对手！,还活着呢。,10115027
10115028,10115028,14300941,14300942,死神回家社员,学徒型橄榄石,MR,歌姬,冰,2,2285,0,0,254,治疗,解异常/治疗,自身/恢复3628点HP,己方1人/恢复6006点HP，【自身/治疗/额外1枚以上】解除封印状态,乃们根本不是对手！,还活着呢。,10115028
10115030,10115029,13201151,13201152,天赋的凡才,学徒型格妮妲,MR,盗贼,风,4,2285,0,254,0,魔法,攻击,敌单体/魔法/10792点+魔法攻击力150%的风属性伤害，暴击率150%,敌单体/魔法/17926点+魔法攻击力150%的风属性伤害，暴击率150%，【4Chain以上】魔法/39328点+魔法攻击力150%的风属性伤害，暴击率150%,不行才是对的…。,咦～，就算对我有期待也～…。,10115030
10115032,10115031,11101481,11101482,学徒秘密工作,学徒型提尔拉蒙,MR,佣兵,光,3,2285,254,0,0,物理,破防/攻击,敌单体/物理/6995点+物理攻击力130%的光属性伤害，暴击率150%,敌单体/物理/11632点+物理攻击力130%的光属性伤害，暴击率150%，无视0%的防御，【2Chain以上】无视70%的防御,性价比虽然不高但是心情好！,我知道个能赚钱的项目…。,10115032
10115033,10115033,13201171,13201172,断罪之双翼,压制型罗恩格林,MR,盗贼,暗,3,3770,0,70,0,魔法,物攻↓/魔攻↓/反伤/攻击,敌单体/魔法/4716点+魔法攻击力130%的暗属性伤害，暴击率150%,敌单体/魔法/9354点+魔法攻击力130%的暗属性伤害，暴击率150%，2回合/降低2639点物理攻击，2回合/降低2639点魔法攻击，提升累计损血50%的威力,抱歉，我下手不知道轻重。,别着急去死啊。,10115033
10115034,10115034,12500501,12500502,天造日女命,特异型卑弥呼,MR,富豪,冰,3,2932,209,0,0,防御,物攻↑/抽卡/魔防↑,自身/1回合/提升1125点魔法防御,己方全体/1回合/提升3253点魔法防御，抽卡+1，【3Chain以上】自身/2回合/提升物理攻击10916,天诛！　好好去悔改吧！,不痛，一点都不痛！,10115034
10115035,10115035,11101501,11101502,狱炎射门,争杯型珀西瓦尔,MR,佣兵,火,4,2932,209,0,0,物理,魔攻↓/攻击,敌单体/物理/10792点+物理攻击力150%的火属性伤害，暴击率150%,敌单体/物理/21494点+物理攻击力150%的火属性伤害，暴击率150%，1回合/降低4379点魔法攻击,射到门里去喵！,这种事我也做得到啦。,10115035
10115036,10115036,14400341,14400342,慈爱之姬神,制压型戈特弗里德,MR,歌姬,光,3,2513,0,0,279,支援,物攻↑/魔攻↑/治疗↑,自身/3回合/提升物理攻击1814，3回合/提升魔法攻击1814,己方全体/3回合/提升物理攻击3628，3回合/提升魔法攻击3628，自身/3回合/提升治疗量2639,来吧。看我全都反击回去！,防守就交给我吧，你专心进攻！,10115036
10115037,10115037,10300121,,四月笨蛋,弱酸型乌莎哈,MR,通用,火,1,2285,127,127,0,弱化,物攻↓/魔攻↓,敌全体/2回合/降低500点物理攻击，2回合/降低500点魔法攻击,,我打（无感情）,挚友啊！,10115037
10116002,10116001,13201191,13201192,持锤的风云儿,神装型佣兵亚瑟,MR,盗贼,光,4,2094,0,349,0,魔法,攻击/打断,敌单体/魔法/4880点+魔法攻击力150%的光属性伤害，暴击率150%,敌单体/魔法/21494点+魔法攻击力150%的光属性伤害，暴击率150%，【3Chain以上】50%几率打断敌人行动,别小看了，战锤的突破力啊！,让你看看什么叫佣兵的工作！,10116002
10116003,10116003,14300961,14300962,复苏的神锤,神装型佣兵亚瑟,MR,歌姬,风,2,2094,0,0,349,治疗,解异常/治疗,自身/恢复1657点HP,己方全体/恢复3253点HP，【3Chain以上】解除封印状态,十分足够的一击，欢喜吧！,不要抛弃可能性！,10116003
10116005,10116004,11101521,11101522,内助的秘密,神装型罗恩法尔,MR,佣兵,风,4,2513,279,0,0,物理,攻击,敌单体/物理/10792点+物理攻击力150%的风属性伤害，暴击率150%,敌单体/物理/21494点+物理攻击力150%的风属性伤害，暴击率150%，【4Chain以上】敌全体/物理/21494点+物理攻击力150%的风属性伤害，暴击率150%,这是我和法尔的那份！,就是那啥内助啦！,10116005
10116006,10116006,12500521,12500522,比翼连理,神装型罗恩法尔,MR,富豪,光,4,2513,279,0,0,防御,抽卡/物防↑/魔防↑,自身/2回合/提升1439点物理防御，2回合/提升1439点魔法防御,己方全体/2回合/提升2878点物理防御，2回合/提升2878点魔法防御，抽卡+1,干将有多么锋利，你切身体会一下吧！,能使用莫耶的只有我！,10116006
10116008,10116007,14300981,14300982,银灿的神弓,神装型罗宾汉,MR,歌姬,光,3,2513,0,0,279,治疗,魔攻↑/治疗,自身/恢复3192+治疗量的130%点HP,己方全体/恢复6304+治疗量的130%点HP，【自身HP50%以下】2回合/提升魔法攻击3959,哎哟，看到了不少东西呢～？,成为你的眼目。,10116008
10116010,10116009,12500541,12500542,必杀的恋枪,神装型佩里亚丝,UR,富豪,火,4,2031,85,0,0,防御,抗封印/抽卡/物防↑,自身/2回合/提升873点物理防御,己方全体/2回合/提升1745点物理防御，己方全体/抽卡+1，【3Chain以上】1回合/80%封印抗性,用爱将你穿刺起来～！,请务必用约会来回礼！,10116010
10116012,10116011,11101541,11101542,神代的键杖,神装型洛蒂涅,MR,佣兵,风,3,2513,0,279,0,魔法,反伤/攻击,敌单体/魔法/6995点+魔法攻击力130%的风属性伤害，暴击率150%,敌单体/魔法/13991点+魔法攻击力130%的风属性伤害，暴击率150%，提升累计损血25%的威力,拿起武器来战斗！,放心吧。,10116012
10116014,10116013,12101011,12101012,森林的妖精,仙女木,UR,富豪,火,3,1385,154,0,0,物理,攻击/抽卡,敌单体/物理/4252点+物理攻击力130%的火属性伤害，暴击率150%,敌单体/物理/7086点+物理攻击力130%的火属性伤害，暴击率150%，己方全体/抽卡+1，【2Chain以上】物理/11272点+物理攻击力130%的火属性伤害，暴击率150%,森林由我来保护…！,你们也是自然的一部分…,10116014
10116016,10116015,13201231,13201232,海洋霸者,利维坦,MR,盗贼,冰,2,2285,0,254,0,魔法,攻击,敌单体/魔法/1657点冰属性伤害，暴击率150%,敌单体/魔法/6006点冰属性伤害，暴击率150%，提升chain威力,我都帮你洗干净！,我帮你吞下去。,10116016
10116018,10116017,13201251,13201252,羞怯的妖精,波克鲁,UR,盗贼,风,2,1615,0,115,0,魔法,攻击/抽卡,敌单体/魔法/2924点风属性伤害，暴击率150%,敌单体/魔法/4823点风属性伤害，暴击率150%，自身/抽卡+1,不要！别看这边！,料理我能做出来的！,10116018
10116020,10116019,14301001,14301002,抑制力的妖精,露,MR,歌姬,光,2,1904,0,0,317,治疗,抽卡/治疗,自身/恢复4817点HP,己方1人/恢复7987点HP，自身/抽卡+1,会使出全力。欢喜吧…的说！,要死还太早了点…的说哦。,10116020
10116022,10116021,11101561,11101562,化现的妖精,安瑟,UR,佣兵,暗,3,1385,154,0,0,物理,反伤/攻击,敌单体/物理/4252点+物理攻击力130%的暗属性伤害，暴击率150%,敌单体/物理/7086点+物理攻击力130%的暗属性伤害，暴击率150%，提升累计损血25%的威力,被打了吗？　以眼还眼。,装死是吗？　很擅长。,10116022
10116024,10116023,12500561,12500562,妖魔一闪,神装型亚瑟 魔法之派,MR,富豪,暗,3,2285,254,0,0,防御,抽卡/魔防↑,自身/1回合/提升1657点魔法防御，抽卡+1,己方全体/1回合/提升2721点魔法防御，抽卡+1，【3Chain以上】1回合/提升5381点魔法防御,让我教教你剑戟的方程式好了！,不会让你一个人的！,10116024
10116025,10116025,11101581,11101582,妖刀觉醒,神装型亚瑟 魔法之派,MR,佣兵,火,2,2285,0,254,0,魔法,攻击,敌单体/魔法/3628点火属性伤害，暴击率150%,敌单体/魔法/6006点火属性伤害，暴击率150%，【自身HP100%】魔法/9573点火属性伤害，暴击率150%,妖刀村正，展现你异名的由来吧！,开始进行支援！,10116025
10116027,10116026,14301021,14301022,死兆之巨镰,异界女王,MR,歌姬,暗,4,2285,0,0,254,治疗,魔防↑/治疗,自身/恢复4880+治疗量的150%点HP,己方全体/2回合/提升1500点魔法防御，恢复8072+治疗量的150%点HP,不可以把手举起来吗？,好点了吗？,10116027
10116028,10116028,13201271,13201272,谋策之贤母,异界女王,MR,盗贼,火,4,2285,0,254,0,魔法,魔攻↑/攻击,敌单体/魔法/10792点+魔法攻击力150%的火属性伤害，暴击率150%,敌单体/魔法/17926点+魔法攻击力150%的火属性伤害，暴击率150%，自身/2回合/提升魔法攻击12075,万岁～！,对不起，我太溺爱孩子了！,10116028
10116030,10116029,11101601,11101602,王之记录者,特异型朵帕蒂,MR,佣兵,风,4,2665,0,190,0,魔法,魔攻↑/攻击,敌单体/魔法/10792点+魔法攻击力150%的风属性伤害，暴击率150%,敌单体/魔法/17926点+魔法攻击力150%的风属性伤害，暴击率150%，自身/2回合/提升魔法攻击12075,不守护好王的话…！,支援也是我的任务。,10116030
10116032,10116031,13201291,13201292,绝对之王妃,特异型安托瓦内特,MR,盗贼,火,2,2665,0,190,0,魔法,攻击,敌单体/魔法/3628点火属性伤害，暴击率150%,敌单体/魔法/6006点火属性伤害，暴击率500%,在荣华富贵前俯首称臣吧。,奖励什么好呢？,10116032
10116033,10116033,12100991,12100992,冷红的魔剑士,新春型贝琳,MR,富豪,风,3,3351,140,0,0,物理,攻击/抗封印/抽卡,敌单体/物理/6995点+物理攻击力130%的风属性伤害，暴击率150%，自身/抽卡+1,敌单体/物理/13991点+物理攻击力130%的风属性伤害，暴击率150%，己方全体/抽卡+1，【3Chain以上】自身/2回合/50%封印抗性,烧起来了！,可以代替篝火来用？,10116033
10116034,10116034,13201211,13201212,烈火之乙女,复制型艾菲,MR,盗贼,光,2,3351,0,140,0,魔法,物攻↓/攻击,敌单体/魔法/3628点光属性伤害，暴击率150%,敌单体/魔法/7195点光属性伤害，暴击率150%，3回合/降低1530点物理攻击,把我艾菲的英姿印在你的脑海里吧！,请放心。我绝不会亏欠人情。,10116034
10116036,10116035,13201311,13201312,黄金大佬,学徒型富豪亚瑟,UR,盗贼,光,3,1385,0,154,0,魔法,物攻↓/攻击,敌单体/魔法/4252点+魔法攻击力130%的光属性伤害，暴击率150%,敌单体/魔法/7086点+魔法攻击力130%的光属性伤害，暴击率150%，3回合/降低1176点物理攻击,盯着我金库的歹人！,根据你的行为扣你部费啊！,10116036
10117002,10117001,13201331,13201332,六月新娘,纯白型歌姬亚瑟,MR,盗贼,暗,2,2513,0,279,0,魔法,攻击/中毒,敌单体/魔法/2439点暗属性伤害，暴击率150%,敌单体/魔法/4817点暗属性伤害，暴击率150%，3回合/每回合2010+70%魔法攻击的中毒伤害，提升chain威力,一、一到关键时候就开始紧张了啊！,一定要传达给你啊！,10117002
10117003,10117003,11101621,11101622,爱歌女神,纯白型歌姬亚瑟,MR,佣兵,冰,2,2513,279,0,0,物理,属性不利无效/物攻↑/攻击,敌单体/物理/3628点冰属性伤害，暴击率150%,敌单体/物理/7195点冰属性伤害，暴击率150%，因属性不利的伤害减少无效化，【自身/冰/额外1枚以上】自身/1回合/提升物理攻击9806,一、一到关键时候就开始紧张了啊！,一定要传达给你啊！,10117003
10117005,10117004,14301041,14301042,正妻游刃有余,纯白型君士坦丁,MR,歌姬,冰,2,2094,0,0,349,治疗,物防↑/治疗,自身/恢复3628点HP,己方1人/2回合/提升2220点物理防御，恢复7195点HP,请不要对我丈夫出手好吗？,我老公承蒙关照了呢。,10117005
10117006,10117006,12500581,12500582,纯洁无垢,纯白型君士坦丁,MR,富豪,暗,2,2932,209,0,0,防御,抽卡/物防↑,自身/2回合/提升2439点物理防御，自身/抽卡+1,己方1人/2回合/提升4817点物理防御，己方全体/抽卡+1,请不要对我丈夫出手好吗？,我老公承蒙关照了呢。,10117006
10117008,10117007,12500601,12500602,新郎掠夺,纯白型金发伊索德,MR,富豪,冰,4,3351,140,0,0,防御,嘲讽/抽卡,自身/2回合/提升1939点物理防御，自身/抽卡+1,自身/2回合/使攻击向自身集中，减免30%伤害，己方全体/抽卡+1,差不多给我适可而止啊，你个偷腥猫！,老天保佑祝福吧。,10117008
10117010,10117009,11101641,11101642,职业结婚,纯白型罗艾娜,MR,佣兵,暗,3,2094,0,349,0,魔法,攻击/解异常,敌单体/魔法/6995点+魔法攻击力130%的暗属性伤害，暴击率150%,敌单体/魔法/13991点+魔法攻击力130%的暗属性伤害，暴击率150%，【目标中毒】魔法/13991点+魔法攻击力130%的暗属性伤害，暴击率1000%，解除中毒状态,才不让给任何人呢！,能成为好老婆呢。,10117010
10117012,10117011,14301061,14301062,政治婚姻,纯白型甲斐姬,UR,歌姬,暗,2,1523,0,0,169,治疗,抽卡/治疗,自身/恢复1309点HP,己方全体/恢复2617点HP，自身/抽卡+1,要是你妨碍我的话！,交给我我来想办法…！,10117012
10117014,10117013,13600341,13600342,东方守护,青龙,UR,盗贼,冰,3,1615,0,115,0,弱化,物攻↓,敌单体/2回合/降低873点物理攻击,敌单体/2回合/降低2924点物理攻击,我所有的一切都在这儿了~！,你可别来妨碍到我哦？,10117014
10117016,10117015,13201351,13201352,天空石麒麟,麒麟,MR,盗贼,光,2,2285,0,254,0,魔法,攻击/抽卡,敌单体/魔法/4817点光属性伤害，暴击率150%,敌单体/魔法/7987点光属性伤害，暴击率150%，自身/抽卡+1,你很碍事啊！,只有现在！,10117016
10117018,10117017,12600121,12600122,北方守护,玄武,UR,富豪,风,2,923,231,0,0,弱化,魔攻↓/抽卡,敌单体/3回合/降低860点魔法攻击，自身/抽卡+1,敌单体/3回合/降低1360点魔法攻击，己方全体/抽卡+1,我可不管接下去会怎么样啊—！,齐心协力把敌人赶走吧！,10117018
10117020,10117019,14301081,14301082,南方守护,朱雀,MR,歌姬,火,3,2285,0,0,254,治疗,魔防↑/治疗,自身/恢复3192+治疗量的130%点HP,己方全体/恢复5266+治疗量的130%点HP，【3Chain以上】己方全体/2回合/提升2010点魔法防御,燃烧后消失吧！,我的火焰，会保护你的。,10117020
10117022,10117021,11101661,11101662,西方守护,白虎,UR,佣兵,暗,2,1615,0,115,0,魔法,破防/攻击,敌单体/魔法/2181点暗属性伤害，暴击率150%,敌单体/魔法/3617点暗属性伤害，暴击率150%，无视0%的防御，【目标中毒】无视70%的防御,好好让你记住我的名字~！,保护住你的是白虎哦！　白虎~！,10117022
